filepath,split,width,height,brightness_median_v,n_objects,min_minor_side,object_size_tercile,brightness_tercile,is_atypical_resolution,is_low_light_below_threshold,is_multi_object,has_defect,bboxes_json
test/img/00363.jpg,test,1280,720,178.0,1,147.0,T3_high,T2_mid,False,False,False,False,"[{""xmin"": 360, ""ymin"": 305, ""xmax"": 544, ""ymax"": 452}]"
test/img/00390.jpg,test,1920,1080,146.0,1,18.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 1019, ""ymin"": 748, ""xmax"": 1075, ""ymax"": 766}]"
test/img/00430.jpg,test,1920,1080,167.0,1,29.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 1561, ""ymin"": 706, ""xmax"": 1625, ""ymax"": 735}]"
test/img/00507.jpg,test,1920,1080,157.0,1,23.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 1086, ""ymin"": 435, ""xmax"": 1135, ""ymax"": 458}]"
test/img/00610.jpg,test,1920,1080,168.0,1,15.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 1129, ""ymin"": 686, ""xmax"": 1157, ""ymax"": 701}]"
test/img/00708.jpg,test,1920,1080,179.0,1,15.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 1529, ""ymin"": 704, ""xmax"": 1550, ""ymax"": 719}]"
test/img/00927.jpg,test,1920,1080,177.0,1,7.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 641, ""ymin"": 645, ""xmax"": 663, ""ymax"": 652}]"
test/img/00975.jpg,test,1280,720,107.0,1,263.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 394, ""ymin"": 28, ""xmax"": 765, ""ymax"": 291}]"
test/img/01013.jpg,test,1280,720,145.0,1,100.0,T2_mid,T2_mid,False,False,False,False,"[{""xmin"": 661, ""ymin"": 222, ""xmax"": 972, ""ymax"": 322}]"
test/img/01044.jpg,test,1280,720,210.0,1,105.0,T2_mid,T3_high,False,False,False,False,"[{""xmin"": 681, ""ymin"": 337, ""xmax"": 890, ""ymax"": 442}]"
test/img/01059.jpg,test,1280,720,106.0,1,114.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 506, ""ymin"": 337, ""xmax"": 721, ""ymax"": 451}]"
test/img/01095.jpg,test,1280,720,139.0,1,428.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 529, ""ymin"": 131, ""xmax"": 1280, ""ymax"": 559}]"
test/img/01227.jpg,test,1280,720,131.0,2,39.0,T1_low,T1_low,False,False,True,True,"[{""xmin"": 1155, ""ymin"": 500, ""xmax"": 1281, ""ymax"": 593}, {""xmin"": 625, ""ymin"": 1, ""xmax"": 762, ""ymax"": 40}]"
test/img/01228.jpg,test,1280,720,130.0,2,59.0,T1_low,T1_low,False,False,True,True,"[{""xmin"": 1177, ""ymin"": 623, ""xmax"": 1281, ""ymax"": 699}, {""xmin"": 645, ""ymin"": 217, ""xmax"": 765, ""ymax"": 276}]"
test/img/01247.jpg,test,1280,720,135.0,1,88.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 840, ""ymin"": 189, ""xmax"": 1036, ""ymax"": 277}]"
test/img/01269.jpg,test,1280,720,152.0,1,147.0,T3_high,T2_mid,False,False,False,False,"[{""xmin"": 253, ""ymin"": 267, ""xmax"": 812, ""ymax"": 414}]"
test/img/01343.jpg,test,1280,720,246.0,1,149.0,T3_high,T3_high,False,False,False,False,"[{""xmin"": 534, ""ymin"": 243, ""xmax"": 762, ""ymax"": 392}]"
test/img/01358.jpg,test,1280,720,124.0,1,284.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 499, ""ymin"": 216, ""xmax"": 895, ""ymax"": 500}]"
test/img/01371.jpg,test,1280,720,136.0,1,139.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 572, ""ymin"": 321, ""xmax"": 824, ""ymax"": 460}]"
test/img/01376.jpg,test,1280,720,228.0,1,66.0,T2_mid,T3_high,False,False,False,False,"[{""xmin"": 634, ""ymin"": 311, ""xmax"": 719, ""ymax"": 377}]"
test/img/01381.jpg,test,1280,720,213.0,1,128.0,T3_high,T3_high,False,False,False,False,"[{""xmin"": 533, ""ymin"": 174, ""xmax"": 850, ""ymax"": 302}]"
train/img/00020.jpg,train,1000,667,110.0,1,123.0,T2_mid,T1_low,True,False,False,False,"[{""xmin"": 392, ""ymin"": 259, ""xmax"": 605, ""ymax"": 382}]"
train/img/00024.jpg,train,960,635,172.0,1,162.0,T3_high,T2_mid,True,False,False,False,"[{""xmin"": 417, ""ymin"": 249, ""xmax"": 579, ""ymax"": 415}]"
train/img/00048.jpg,train,580,387,223.0,1,244.0,T3_high,T3_high,True,False,False,False,"[{""xmin"": 124, ""ymin"": 61, ""xmax"": 400, ""ymax"": 305}]"
train/img/00075.jpg,train,573,360,242.0,1,229.0,T3_high,T3_high,True,False,False,False,"[{""xmin"": 124, ""ymin"": 64, ""xmax"": 449, ""ymax"": 293}]"
train/img/00135.jpg,train,590,332,198.0,1,105.0,T2_mid,T3_high,True,False,False,False,"[{""xmin"": 222, ""ymin"": 85, ""xmax"": 423, ""ymax"": 190}]"
train/img/00277.jpg,train,1280,720,145.0,1,174.0,T3_high,T2_mid,False,False,False,False,"[{""xmin"": 173, ""ymin"": 347, ""xmax"": 347, ""ymax"": 525}]"
train/img/00337.jpg,train,1280,720,178.0,1,82.0,T2_mid,T2_mid,False,False,False,False,"[{""xmin"": 469, ""ymin"": 267, ""xmax"": 698, ""ymax"": 349}]"
train/img/00362.jpg,train,1280,720,184.0,1,38.0,T1_low,T3_high,False,False,False,False,"[{""xmin"": 379, ""ymin"": 181, ""xmax"": 435, ""ymax"": 219}]"
train/img/00428.jpg,train,1280,720,113.0,1,109.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 522, ""ymin"": 392, ""xmax"": 760, ""ymax"": 501}]"
train/img/00440.jpg,train,1280,720,132.0,1,24.0,T1_low,T1_low,False,False,False,False,"[{""xmin"": 640, ""ymin"": 262, ""xmax"": 705, ""ymax"": 286}]"
train/img/00450.jpg,train,1280,720,144.0,1,177.0,T3_high,T2_mid,False,False,False,False,"[{""xmin"": 394, ""ymin"": 244, ""xmax"": 847, ""ymax"": 421}]"
train/img/00563.jpg,train,1280,720,196.0,5,11.0,T1_low,T3_high,False,False,True,False,"[{""xmin"": 1191, ""ymin"": 561, ""xmax"": 1222, ""ymax"": 572}, {""xmin"": 964, ""ymin"": 386, ""xmax"": 994, ""ymax"": 403}, {""xmin"": 649, ""ymin"": 209, ""xmax"": 683, ""ymax"": 229}, {""xmin"": 390, ""ymin"": 243, ""xmax"": 429, ""ymax"": 265}, {""xmin"": 287, ""ymin"": 305, ""xmax"": 342, ""ymax"": 333}]"
train/img/00607.jpg,train,1280,720,131.0,1,79.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 537, ""ymin"": 165, ""xmax"": 706, ""ymax"": 244}]"
train/img/00608.jpg,train,1280,720,120.0,1,86.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 527, ""ymin"": 200, ""xmax"": 708, ""ymax"": 286}]"
train/img/00631.jpg,train,1280,720,152.0,1,62.0,T2_mid,T2_mid,False,False,False,False,"[{""xmin"": 689, ""ymin"": 174, ""xmax"": 833, ""ymax"": 236}]"
train/img/00634.jpg,train,1280,720,191.0,1,54.0,T1_low,T3_high,False,False,False,False,"[{""xmin"": 880, ""ymin"": 86, ""xmax"": 951, ""ymax"": 140}]"
train/img/00696.jpg,train,1280,720,119.0,1,417.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 247, ""ymin"": 224, ""xmax"": 1093, ""ymax"": 641}]"
train/img/00697.jpg,train,1280,720,253.0,1,132.0,T3_high,T3_high,False,False,False,False,"[{""xmin"": 631, ""ymin"": 119, ""xmax"": 832, ""ymax"": 251}]"
train/img/00731.jpg,train,1280,720,253.0,1,92.0,T2_mid,T3_high,False,False,False,False,"[{""xmin"": 545, ""ymin"": 12, ""xmax"": 640, ""ymax"": 104}]"
train/img/00772.jpg,train,1280,720,57.0,1,184.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 519, ""ymin"": 91, ""xmax"": 871, ""ymax"": 275}]"
train/img/00790.jpg,train,1280,720,139.0,1,72.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 709, ""ymin"": 117, ""xmax"": 859, ""ymax"": 189}]"
train/img/00804.jpg,train,1280,720,219.0,2,41.0,T1_low,T3_high,False,False,True,False,"[{""xmin"": 679, ""ymin"": 401, ""xmax"": 733, ""ymax"": 442}, {""xmin"": 450, ""ymin"": 170, ""xmax"": 730, ""ymax"": 374}]"
train/img/01618.jpg,train,1920,1080,90.0,1,16.0,T1_low,T1_low,False,False,False,False,"[{""xmin"": 538, ""ymin"": 581, ""xmax"": 575, ""ymax"": 597}]"
train/img/01792.jpg,train,1920,1080,183.0,1,35.0,T1_low,T3_high,False,False,False,False,"[{""xmin"": 1415, ""ymin"": 732, ""xmax"": 1495, ""ymax"": 767}]"
train/img/02379.jpg,train,1920,1080,48.0,1,23.0,T1_low,T1_low,False,True,False,False,"[{""xmin"": 699, ""ymin"": 337, ""xmax"": 742, ""ymax"": 360}]"
train/img/03525.jpg,train,1920,1080,93.0,1,44.0,T1_low,T1_low,False,False,False,False,"[{""xmin"": 641, ""ymin"": 519, ""xmax"": 718, ""ymax"": 563}]"
val/img/00052.jpg,val,634,392,208.0,1,175.0,T3_high,T3_high,True,False,False,False,"[{""xmin"": 200, ""ymin"": 110, ""xmax"": 432, ""ymax"": 285}]"
val/img/00073.jpg,val,926,617,247.0,1,211.0,T3_high,T3_high,True,False,False,False,"[{""xmin"": 202, ""ymin"": 153, ""xmax"": 764, ""ymax"": 364}]"
val/img/00151.jpg,val,1280,720,218.0,1,61.0,T2_mid,T3_high,False,False,False,False,"[{""xmin"": 450, ""ymin"": 263, ""xmax"": 525, ""ymax"": 324}]"
val/img/00162.jpg,val,1280,720,102.0,1,180.0,T3_high,T1_low,False,False,False,False,"[{""xmin"": 246, ""ymin"": 113, ""xmax"": 627, ""ymax"": 293}]"
val/img/00181.jpg,val,1280,720,185.0,1,81.0,T2_mid,T3_high,False,False,False,False,"[{""xmin"": 475, ""ymin"": 150, ""xmax"": 641, ""ymax"": 231}]"
val/img/00190.jpg,val,1280,720,185.0,1,129.0,T3_high,T3_high,False,False,False,False,"[{""xmin"": 435, ""ymin"": 62, ""xmax"": 707, ""ymax"": 191}]"
